"term","description","package"
"[[","extract a column by name or position","base"
"$","extract a column by name","base"
"as_tibble()","convert data.frame to tibble","tibble"
"as.data.frame()","convert tibble to data.frame","base"
"c()","create a vector","base"
"enframe()","convert vectors or list to data frames","tibble"
"print()","print values to console","base"
"pull()","extract a column of data","dplyr"
"tibble()","create a data frame called a tibble","tibble"
"tribble()","create a transposed tibble","tibble"
"View()","open viewer on object","utils"
