"term","description","package"
"anti_join()","return rows from x without a match in y","dplyr"
"full_join()","join two data frames, including all rows found in either","dplyr"
"inner_join()","join two data frames, including all rows found in both","dplyr"
"intersect()","find intersection of two vectors","generics"
"left_join()","join two data frames, including all rows in first","dplyr"
"right_join()","join two data frames, including all rows in second","dplyr"
"semi_join()","return rows from x with match in y","dplyr"
"setdiff()","find set difference of two vectors","generics"
"union()","find union of two vectors","generics"
